,xinxi,cutted_xinxi
128,天津市河东区利万达广场旁 经常有违章停车 更有停在马路中间 堵中间马路尤其晚上天黑没灯 很容易出现交通事故望有关部门给予处理,天津市 河东区 利 万达 广场 旁   经常 有 违章 停车   更 有 停 在 马路 中间   堵 中间 马路 尤其 晚上 天黑 没灯   很 容易 出现 交通事故 望 有关 部门 给予 处理
129,河东区新开路大宅门餐馆门口胡乱停车，占盲道甚至边道、自行车道。,河东区 新开路 大宅门 餐馆 门口 胡乱 停车 ， 占 盲道 甚至 边道 、 自行车道 。
130,在营口道，吴家窑地铁站站台上，总有人向等车的乘客推销，让乘客加微信了解其产品等情况，让乘客扫码加微信，一扫发现是卖产品的，希望地铁管理人员加强管理。,在 营口 道 ， 吴家 窑 地铁站 站台 上 ， 总 有人 向 等 车 的 乘客 推销 ， 让 乘客 加微信 了解 其 产品 等 情况 ， 让 乘客 扫码 加微信 ， 一扫 发现 是 卖 产品 的 ， 希望 地铁 管理人员 加强 管理 。
131,小东庄站辅警高德培热心帮助腿脚不便乘客及携带的物品送至车厢，该乘客表示感谢！,小 东庄 站 辅警 高德培 热心 帮助 腿脚 不便 乘客 及 携带 的 物品 送 至 车厢 ， 该 乘客 表示感谢 ！
132,据反映总医院附近麦当劳门口有人骑自行车收药 自行车车筐中有收药的大牌子 望有关部门及时治理,据 反映 总医院 附近 麦当劳 门口 有人 骑 自行车 收药   自行车 车筐 中 有 收药 的 大 牌子   望 有关 部门 及时 治理
133,天津市东丽区明佳庄园小区，进去后第一座楼底商大众棋牌室内有赌博行为，里面有打鱼机老虎机数台，单间内还有百家乐，直接进行现金赌博,天津市 东丽区 明佳 庄园 小区 ， 进去 后 第一座 楼底 商 大众 棋牌室 内有 赌博 行为 ， 里面 有 打鱼 机 老虎机 数台 ， 单间 内 还有 百家乐 ， 直接 进行 现金 赌博
134, 在天津地图上有条泰兴路，幸福道到真理道区间内，现在这是脏乱差，违章违建臭水横流，家住幸福道可一点感觉不到幸福，只有愤怒和恐惧，是因为：  1.违章违建，垃圾堆，臭水味道熏人，到了夏天那味道更别提了，附近居民都不敢开窗通风;  2.废品收购站里面都是纸板木头塑料油桶等易燃物品，无消防设施，去年就着过一次火，要是在院内着起火来后果不堪设想;  3.噪声污染，废品收购站用大型机械施工，有时日夜不停;  4.私接电线;  5.大气污染，因是违建所以没有燃气暖气，违规焚烧蜂窝煤木板等，好处是我经常能看到炊烟升起;  6.破坏社会风气，原泰兴公寓售楼处本事就是违建，在售完楼本应拆除，但现在不仅一直在，反而成为淫秽色情场所，附近就是小学，对下一代造成的心灵伤害有多大不可估量。,  在 天津 地图 上 有 条 泰兴 路 ， 幸福 道 到 真理 道 区间 内 ， 现在 这是 脏乱差 ， 违章 违建 臭水 横流 ， 家住 幸福 道 可 一点 感觉 不到 幸福 ， 只有 愤怒 和 恐惧 ， 是因为 ：     1 . 违章 违建 ， 垃圾堆 ， 臭水 味道 熏人 ， 到 了 夏天 那 味道 更 别提 了 ， 附近 居民 都 不敢 开窗 通风 ;     2 . 废品收购 站 里面 都 是 纸板 木头 塑料 油桶 等 易燃物品 ， 无 消防设施 ， 去年 就 着 过 一次 火 ， 要是 在 院内 着 起火 来 后果 不堪设想 ;     3 . 噪声污染 ， 废品收购 站 用 大型 机械 施工 ， 有时 日夜不停 ;     4 . 私接 电线 ;     5 . 大气污染 ， 因是 违建 所以 没有 燃气 暖气 ， 违规 焚烧 蜂窝煤 木板 等 ， 好处 是 我 经常 能 看到 炊烟 升起 ;     6 . 破坏 社会风气 ， 原 泰兴 公寓 售楼处 本事 就是 违建 ， 在 售完 楼本应 拆除 ， 但 现在 不仅 一直 在 ， 反而 成为 淫秽 色情 场所 ， 附近 就是 小学 ， 对 下一代 造成 的 心灵 伤害 有 多 大 不可估量 。
135,南开区鞍山西道卧龙里公交站附近，有一处路灯杆的电线长期裸露在外，存在安全隐患，望有关部门尽快修复。,南开区 鞍山 西道 卧龙 里 公交站 附近 ， 有 一处 路灯 杆 的 电线 长期 裸露 在外 ， 存在 安全隐患 ， 望 有关 部门 尽快 修复 。
136,和平区新兴路与四平西道交口信华楼小区1号楼底商“九福大排档”晚上经营露天烧烤，严重污染周边环境且影响交通；小区4、5、6号楼门前有占路经营布料、蔬菜、水果的长期摊贩，且在附近三个僵尸车里堆放大量杂物。,和平区 新兴路 与 四 平西 道交 口信 华楼 小区 1 号 楼底 商 “ 九福 大排档 ” 晚上 经营 露天 烧烤 ， 严重 污染 周边环境 且 影响 交通 ； 小区 4 、 5 、 6 号楼 门前 有 占 路 经营 布料 、 蔬菜 、 水果 的 长期 摊贩 ， 且 在 附近 三个 僵尸 车里 堆放 大量 杂物 。
137,津南区幸福公寓5号楼西侧圈占公共绿地搭建板房和集装箱，并且饲养大型犬，夜间狂叫影响居民休息。,津南区 幸福 公寓 5 号楼 西侧 圈占 公共绿地 搭建 板房 和 集装箱 ， 并且 饲养 大型犬 ， 夜间 狂叫 影响 居民 休息 。
138,据反映总医院附近麦当劳门口有人骑自行车收药 自行车车筐中有收药的大牌子 望有关部门及时治理,据 反映 总医院 附近 麦当劳 门口 有人 骑 自行车 收药   自行车 车筐 中 有 收药 的 大 牌子   望 有关 部门 及时 治理
139,天津市津南区郭黄庄菜市场摊贩把摊子摆到马路上原本不宽阔的马路边得更窄小，对车辆出行和行人造成隐患忘有关部门多加管理,天津市 津南区 郭黄庄 菜市场 摊贩 把 摊子 摆 到 马路上 原本 不 宽阔 的 马路边 得 更 窄小 ， 对 车辆 出行 和 行人 造成 隐患 忘 有关 部门 多加 管理
140,据群众反映，东丽区外环线，有私家车售卖偷来的柴油，望有关部门治理,据 群众反映 ， 东丽区 外环线 ， 有 私家车 售卖 偷来 的 柴油 ， 望 有关 部门 治理
141,据群众反映，西青区西青道280-增1号裕荣达洗浴。该洗浴有卖淫行为。希望有关部门进行处理。,据 群众反映 ， 西青区 西青道 280 - 增 1 号裕荣 达 洗浴 。 该 洗浴 有 卖淫 行为 。 希望 有关 部门 进行 处理 。
142,大沽南路天津小学处天天早起送孩子的家长乱停车堵路，造成交通严重拥堵，交警能不能治理一下啊？今早遇上不知是孩儿奶奶还是姥姥开共享汽车送孩子上学，完后就停马路中间不走了。嘀嘀她还不脚闷，满嘴大脏话，说交警都不管，怎么停车别人管不着。有关部门治理一下。,大沽 南路 天津 小学 处 天天 早起 送 孩子 的 家长 乱 停车 堵路 ， 造成 交通 严重 拥堵 ， 交警 能 不能 治理 一下 啊 ？ 今早 遇上 不知 是 孩儿 奶奶 还是 姥姥 开 共享 汽车 送 孩子 上学 ， 完后 就 停 马路 中间 不 走 了 。 嘀嘀 她 还 不 脚闷 ， 满嘴 大 脏话 ， 说 交警 都 不管 ， 怎么 停车 别人 管不着 。 有关 部门 治理 一下 。
143,卫国道与常州道之间靖江路段是单行路，有个别司机违反禁向标志行驶，尤其是早晚高峰时段造成道路拥堵，希望有关部门进行治理。,卫国 道 与 常州 道 之间 靖江 路段 是 单行 路 ， 有 个别 司机 违反 禁向 标志 行驶 ， 尤其 是 早晚 高峰 时段 造成 道路 拥堵 ， 希望 有关 部门 进行 治理 。
144,据反映天津市东丽区华明镇明湖苑小区一到早晚高峰小区内的道路就被小摊贩占据 严重影响了小区内住户的出行 同时存在一定的安全隐患 望有关部门及时治理,据 反映 天津市 东丽区 华明 镇明 湖苑 小区 一到 早晚 高峰 小 区内 的 道路 就 被 小摊贩 占据   严重 影响 了 小 区内 住户 的 出行   同时 存在 一定 的 安全隐患   望 有关 部门 及时 治理
145,天津市河东区万新村曲溪中里13号楼楼下花园一个月前来了一个流浪汉，自述41岁，河南人，每天都住在花园里，附近邻居会给他一些吃的，他自己有锅不知道是谁给的，每天都会生火做水什么的，每次都是浓烟滚滚，由于在花园里极易引发火灾，现在一直住在花园里，眼看天气转冷，不知道该如何解决。望有关部门关注,天津市 河东区 万 新村 曲溪 中里 13 号楼 楼下 花园 一个月 前来 了 一个 流浪汉 ， 自述 41 岁 ， 河南人 ， 每天 都 住 在 花园里 ， 附近 邻居 会 给 他 一些 吃 的 ， 他 自己 有 锅 不 知道 是 谁 给 的 ， 每天 都 会 生火 做水 什么 的 ， 每次 都 是 浓烟滚滚 ， 由于 在 花园里 极易 引发 火灾 ， 现在 一直 住 在 花园里 ， 眼看 天气 转冷 ， 不 知道 该 如何 解决 。 望 有关 部门 关注
146,据反映此处会所从事涉及卖淫等非法活动 望有关部门进行治理,据 反映 此处 会 所 从事 涉及 卖淫 等 非法活动   望 有关 部门 进行 治理
147,天津市北辰区万科新城附近小摩的由于没有限制，开车横冲直撞，行人以及乘客的安全有隐患，望有关部门查处。,天津市 北辰区 万科 新城 附近 小摩 的 由于 没有 限制 ， 开车 横冲直撞 ， 行人 以及 乘客 的 安全 有 隐患 ， 望 有关 部门 查处 。
148,天津市河西区汕头路附近车辆乱停乱靠严重，再加上道路狭窄，导致过往车辆与行人常有事故发生，望有关部门关注。,天津市 河西区 汕头 路 附近 车辆 乱 停乱 靠 严重 ， 再 加上 道路 狭窄 ， 导致 过往 车辆 与 行人 常有 事故 发生 ， 望 有关 部门 关注 。
149,解放南路外环线调头处。自从浯水道地道开通后每天都堵车，解放南路只有这一个调头的地方，每天外环线津港公路的车就很多，调头的就一个车道，还经常被左拐的车堵住。能不能根据路况设计的更合理一些呢？ ???希望有关部门进行调研。,解放南路 外环线 调头 处 。 自从 浯 水道 地道 开通 后 每天 都 堵车 ， 解放南路 只有 这 一个 调头 的 地方 ， 每天 外环线 津港 公路 的 车 就 很多 ， 调头 的 就 一个 车道 ， 还 经常 被 左 拐 的 车 堵住 。 能 不能 根据 路况 设计 的 更 合理 一些 呢 ？   ? ? ? 希望 有关 部门 进行 调研 。
150,2017年09月21日新浪微博@沈岩先生：早上发现家门口居然有个私藏的违规加油点，汽油就在一个小三轮里存放。两边都是小区，旁边还都是车。位置就在秋怡家园和荔丰家园中间的道路尽头。川崎运动大门外面的一辆黑色棚子的三轮里。http://t.cn/R0zOmy8 @平安天津@平安北辰 ???[/cp],2017 年 09 月 21 日 新浪 微博 @ 沈岩 先生 ： 早上 发现 家门口 居然 有个 私藏 的 违规 加油 点 ， 汽油 就 在 一个 小三轮 里 存放 。 两边 都 是 小区 ， 旁边 还 都 是 车 。 位置 就 在 秋怡 家园 和 荔丰 家园 中间 的 道路 尽头 。 川崎 运动 大门 外面 的 一辆 黑色 棚子 的 三轮 里 。 http : / / t . cn / R0zOmy8   @ 平安 天津 @ 平安 北辰   ? ? ? [ / cp ]
151,津南八里台碧桂园映月庭院的居民。最近两个月，每到晚上小区里就臭味呛鼻，令人难以忍受。严重影响了我们的睡眠、工作和生活。我们曾向物业公司和12369反应过该问题，据反馈是大韩庄垃圾场晚上偷偷焚烧垃圾所致，12369还反馈说津南区相关部门会联系我们解决相关问题，但津南区相关部门一直未联系过我们，反馈到此为止，再无下文。我们迫于无奈，只好又到咱们网站反映该问题，希望相关领导百忙之中关注一下这个问题，帮我们解决一下这个呛鼻的臭味问题，还我们一个能自由呼吸的环境，让我们能在辛苦工作一天之后，安安稳稳的睡个好觉！,津南 八里台 碧桂园 映月 庭院 的 居民 。 最近 两个 月 ， 每到 晚上 小区 里 就 臭味 呛鼻 ， 令人 难以忍受 。 严重 影响 了 我们 的 睡眠 、 工作 和 生活 。 我们 曾 向 物业公司 和 12369 反应 过该 问题 ， 据 反馈 是 大 韩庄 垃圾场 晚上 偷偷 焚烧 垃圾 所致 ， 12369 还 反馈 说 津南区 相关 部门 会 联系 我们 解决 相关 问题 ， 但 津南区 相关 部门 一直 未 联系 过 我们 ， 反馈 到此为止 ， 再 无 下文 。 我们 迫于 无奈 ， 只好 又 到 咱们 网站 反映 该 问题 ， 希望 相关 领导 百忙之中 关注 一下 这个 问题 ， 帮 我们 解决 一下 这个 呛鼻 的 臭味 问题 ， 还 我们 一个 能 自由 呼吸 的 环境 ， 让 我们 能 在 辛苦工作 一天 之后 ， 安安稳稳 的 睡个 好觉 ！
152,基础信息：天津市河西区延水道，自从道路修整完毕之后，路灯一直不亮，周围居民夜间出行极其不方便，望有关部门关注此情况。,基础 信息 ： 天津市 河西区 延 水道 ， 自从 道路 修整 完毕 之后 ， 路灯 一直 不亮 ， 周围 居民 夜间 出行 极其 不 方便 ， 望 有关 部门 关注 此 情况 。
153,大直沽后台四号路，是通往小区的唯一一条小路，在这条小路上，有学校，歌厅，银行，理发的，卖东西的，市场外溢严重，挑选物品停留的人，多为老年人，汽车通过容易发生交通事故，摆卖商贩，喇叭扰民，且这是一条通往内部的消防通道，一旦发生火灾，影响救援时间，会给人民群众的生命财产安全，造成损失，希望有关部门重视。,大直 沽 后台 四号 路 ， 是 通往 小区 的 唯一 一条 小路 ， 在 这条 小 路上 ， 有 学校 ， 歌厅 ， 银行 ， 理发 的 ， 卖东西 的 ， 市场 外溢 严重 ， 挑选 物品 停留 的 人 ， 多为 老年人 ， 汽车 通过 容易 发生 交通事故 ， 摆卖 商贩 ， 喇叭 扰民 ， 且 这 是 一条 通往 内部 的 消防通道 ， 一旦 发生 火灾 ， 影响 救援 时间 ， 会 给 人民 群众 的 生命财产 安全 ， 造成 损失 ， 希望 有关 部门 重视 。
154,红磡领世郡小区与外环线交口的信号灯坏了好几天了，这地方没信号太危险了！存在安全隐患。,红 磡 领世郡 小区 与 外环线 交口 的 信号灯 坏 了 好 几天 了 ， 这 地方 没 信号 太 危险 了 ！ 存在 安全隐患 。
155,天津市河东区六纬路与十一经路交口处的玉笛洗浴中心里有不道德的“人肉交易”请有关部门处理,天津市 河东区 六纬路 与 十一 经路 交口 处 的 玉笛 洗浴 中 心里 有 不道德 的 “ 人 肉 交易 ” 请 有关 部门 处理
156,位于天津市河东区的音乐街两旁私家车乱停现象十分严重很容易造成交通事故请有关部门处理,位于 天津市 河东区 的 音乐 街 两旁 私家车 乱 停 现象 十分 严重 很 容易 造成 交通事故 请 有关 部门 处理
157,和平区甘肃路和包头道交口的云台花园底商建设银行上方的高层有人在高层（目测大概十几层）的窗台上摆放很多杂物，包括很多花和花盆，一旦刮风容易掉落伤到底下广场活路的路人。,和平区 甘肃 路 和 包头 道 交口 的 云台 花园 底商 建设银行 上方 的 高层 有人 在 高层 （ 目测 大概 十几层 ） 的 窗台上 摆放 很多 杂物 ， 包括 很多 花 和 花盆 ， 一旦 刮风 容易 掉落 伤 到底 下 广场 活路 的 路 人 。
158,天津市南开区向阳路平遥里可1号楼一楼违规盖出小院后又加盖成房屋，并且堆放杂物占车位，使得小区内居民私家车根本无法停放，并且影响小区绿地，影响小区居民生活。,天津市 南开区 向阳路 平遥 里 可 1 号楼 一楼 违规 盖出 小院 后 又 加盖 成 房屋 ， 并且 堆放 杂物 占 车位 ， 使得 小 区内 居民 私家车 根本无法 停放 ， 并且 影响 小区 绿地 ， 影响 小区 居民 生活 。
159,在南开区西湖道与南丰路交口每天晚间有人占用人行便道，大量摆放成堆的酒水饮料向车辆、行人兜售。严重影响当地的交通秩序。,在 南开区 西湖 道 与 南丰 路 交口 每天 晚间 有人 占用 人行 便 道 ， 大量 摆放 成堆 的 酒水 饮料 向 车辆 、 行人 兜售 。 严重 影响 当地 的 交通秩序 。
160,红桥区中嘉南道、中嘉路周边，是较大型的居民居住区之一。近年来，周边环境出现逐步恶化趋势：住宅楼首层居民私自拆改结构、在墙面和窗口处开门、在墙外搭建违章房屋、出租给从事经营的小商户。这些小商户又在便道上随意搭建、随意摆卖，违章占道，严重影响周边居民生活与出行,红桥区 中 嘉南 道 、 中嘉路 周边 ， 是 较大型 的 居民 居住区 之一 。 近年来 ， 周边环境 出现 逐步 恶化趋势 ： 住宅楼 首层 居民 私自 拆改 结构 、 在 墙面 和 窗口 处 开门 、 在 墙外 搭建 违章 房屋 、 出租 给 从事 经营 的 小 商户 。 这些 小 商户 又 在 便 道 上 随意 搭建 、 随意 摆卖 ， 违章 占 道 ， 严重 影响 周边 居民 生活 与 出行
161,南开区华宁南里社区为老旧小区，未规划停车位，很多有车住户用自行车私占位置，有时还用共享单车私占，导致临时来车没有地方停，而且楼间道路拥挤，通行费劲。,南开区 华宁 南 里 社区 为 老旧 小区 ， 未 规划 停车位 ， 很多 有车 住户 用 自行车 私占 位置 ， 有时 还 用 共享 单车 私占 ， 导致 临时 来 车 没有 地方 停 ， 而且 楼间 道路 拥挤 ， 通行 费劲 。
162,河东万达广场泰兴南路一侧，红万发游戏厅，里面存在大量赌博机。全运会期间关门了一段时间，近日又开始营业。,河东 万达 广场 泰兴 南路 一侧 ， 红 万发 游戏厅 ， 里面 存在 大量 赌博机 。 全运会 期间 关门 了 一段时间 ， 近日 又 开始 营业 。
163,万达广场河东金街内理发店和酒吧在深夜有人在室外唱ktv，播放音乐，严重扰民。,万达 广场 河东 金街 内 理发店 和 酒吧 在 深夜 有人 在 室外 唱 ktv ， 播放 音乐 ， 严重 扰民 。
164,有市民在津南教育局举牌示威,有 市民 在 津南 教育局 举牌 示威
165,近日，在河北区金纬路梁元中医门诊部的玻璃门窗挂有对河北区法院执行不满的大标语，此行为既影响市容环境，又给社会舆论带来负面影响，给不法分子以可乘之机，望有关部门尽快处理此事,近日 ， 在 河北区 金纬路 梁元 中医 门诊部 的 玻璃 门窗 挂 有 对 河北区 法院 执行 不满 的 大 标语 ， 此 行为 既 影响 市容 环境 ， 又 给 社会舆论 带来 负面影响 ， 给 不法分子 以 可乘之机 ， 望 有关 部门 尽快 处理 此事
166,近日发现河东区华昌大街远洋地铁2号线对过人行道路灯杆电线仓沒有盖子，里面有高伏电线，如行人或小孩路过接触容易产生触电危险，望相关部门解决。,近日 发现 河东区 华昌 大街 远洋 地铁 2 号线 对 过 人行道 路灯 杆 电线 仓 沒 有 盖子 ， 里面 有 高伏 电线 ， 如 行人 或 小孩 路过 接触 容易 产生 触电 危险 ， 望 相关 部门 解决 。
167,天津市河东区大王庄八经路与七纬路交口，晚上路面施工，没有警示灯和施工处苫盖，造成周围环境脏乱，也容易有安全隐患，而且七纬路沿线的电线杆电线垂落至今也无人问津，希望有关部门予以关注！,天津市 河东区 大王 庄八经路 与 七纬路 交口 ， 晚上 路面 施工 ， 没有 警示灯 和 施工 处 苫盖 ， 造成 周围环境 脏乱 ， 也 容易 有 安全隐患 ， 而且 七纬路 沿线 的 电线杆 电线 垂落 至今 也 无人问津 ， 希望 有关 部门 予以 关注 ！
168,天津市河北区真理道与中环线交口经常有乞讨人员在机动车道上向车内要钱，存在严重安全隐患，望有关部门尽快解决。,天津市 河北区 真理 道 与 中环线 交口 经常 有 乞讨 人员 在 机动车道 上 向 车内 要钱 ， 存在 严重 安全隐患 ， 望 有关 部门 尽快 解决 。
169,天津市河北区重光路，有不少商家自己在门口圈画停车线，严重影响周边道路通行及市民出行安全，望有关部门尽快解决。,天津市 河北区 重光 路 ， 有 不少 商家 自己 在 门口 圈画 停车线 ， 严重 影响 周边 道路 通行 及 市民 出行 安全 ， 望 有关 部门 尽快 解决 。
170,天津市东丽区满江东道夕谷湾别墅区 几乎每家都加盖违章建筑 有的甚至加盖出来一栋楼 用加盖的楼干起了酒店宾馆 物业公司也不制止 反而每家收五万的保证金 希望有关部门加强管理 清理违章建筑,天津市 东丽区 满 江东 道夕 谷湾 别墅区   几乎 每家 都 加盖 违章建筑   有 的 甚至 加盖 出来 一栋 楼   用 加盖 的 楼 干起 了 酒店宾馆   物业公司 也 不 制止   反而 每家 收 五万 的 保证金   希望 有关 部门 加强 管理   清理 违章建筑
171,天津市东丽区海欣路和祁连路交口，昆俞家园的西侧和北侧的空地，杂草丛生，没有绿化和铺泊油路，严重影响市容，希望有关部门尽快安排处理！,天津市 东丽区 海欣路 和 祁连 路 交口 ， 昆俞 家园 的 西侧 和 北侧 的 空地 ， 杂草丛生 ， 没有 绿化 和 铺泊 油路 ， 严重 影响 市容 ， 希望 有关 部门 尽快 安排 处理 ！
172,天津津南区新豪广场充电桩被gofun恶意占用，一辆车占两个车位且均未充电，投诉gofun答复无法解决，并确定该车不应该出现此地，且未被使用状态，该处每晚都会有几名共享汽车单位人员禁止其他车辆充电，望有关部门及时处理。,天津 津南区 新豪 广场 充电 桩 被 gofun 恶意 占用 ， 一辆车 占 两个 车位 且 均 未 充电 ， 投诉 gofun 答复 无法 解决 ， 并 确定 该车 不 应该 出现 此地 ， 且 未 被 使用 状态 ， 该处 每晚 都 会 有 几名 共享 汽车 单位 人员 禁止 其他 车辆 充电 ， 望 有关 部门 及时处理 。
173,天津市津南区小站镇锦尚豪庭小区门前道路，下雨积水严重，影响周围居民出行，东门处十字路口无红绿灯，以引发多起交通事故！望有关部门关注解决！,天津市 津南区 小站 镇锦尚 豪庭 小区 门前 道路 ， 下雨 积水 严重 ， 影响 周围 居民 出行 ， 东门 处 十字路口 无 红绿灯 ， 以 引发 多 起 交通事故 ！ 望 有关 部门 关注 解决 ！
174,天津市河北区靖江东里社区内的楼道门都张贴了一张署名“天津市城建自来水工程部”的通告，写着是惠民工程，免费安装净水器，实则需要安装费，滤芯费，预存押金，存在欺诈行为，望早些处理解决，不要让更多人上当受骗。,天津市 河北区 靖江 东 里 社区 内 的 楼道 门 都 张贴 了 一张 署名 “ 天津市 城建 自来水 工程部 ” 的 通告 ， 写 着 是 惠民 工程 ， 免费 安装 净水器 ， 实则 需要 安装费 ， 滤芯 费 ， 预存 押金 ， 存在 欺诈 行为 ， 望 早些 处理 解决 ， 不要 让 更 多 人 上当受骗 。
175,红桥区勤俭桥附近有人摆摊贩卖各种小饰品 有仿象牙制品等 影响市容环境和管理,红桥区 勤俭 桥 附近 有人 摆摊 贩卖 各种 小 饰品   有仿 象牙 制品 等   影响 市容 环境 和 管理
176,天津市河东区泰兴路与常州道交口附近路面道路无排水设施坑坑挖挖 下雨时积水严重， 骑自行车 从此经过时都得 绕行 请有关部门对此路面进行修整及养护,天津市 河东区 泰兴 路 与 常州 道 交口 附近 路面 道路 无 排水 设施 坑坑 挖 挖   下雨 时 积水 严重 ，   骑 自行车   从此 经过 时 都 得   绕行   请 有关 部门 对此 路面 进行 修整 及 养护
177,红桥区铁东路快速路附近有井盖从地面突起 对车辆往来造成影响,红桥区 铁 东路 快速路 附近 有 井盖 从 地面 突起   对 车辆 往来 造成 影响
178,河北区宜白路与中环交口形成多摊位旧货市场 部分地摊疑似出售淫秽物品及管制刀具 望相关部门治理,河北区 宜白路 与 中环 交口 形成 多 摊位 旧货 市场   部分 地摊 疑似 出售 淫秽物品 及 管制 刀具   望 相关 部门 治理
179,河东区华昌大街与新开路交口嘉华国际广场肯德基对过每逢节假日有一是砸金蛋抽奖活动 疑似打托欺骗行为 不正规经营 望有关部门治理,河东区 华昌 大街 与 新开路 交口 嘉华 国际 广场 肯德基 对 过 每逢 节假日 有 一 是 砸 金蛋 抽奖 活动   疑似 打托 欺骗 行为   不 正规 经营   望 有关 部门 治理
180,南开区王顶堤凤园里和凤园南里之间，自发菜市场！每天都相当的扰民！时不时还有乞讨的拉着音响……六点多就开始卖菜吵吵闹闹的。附近就有新盖好的菜市场大棚，大棚冷冷清清,南开区 王顶 堤凤 园里 和 凤园 南里 之间 ， 自发 菜市场 ！ 每天 都 相当 的 扰民 ！ 时不时 还有 乞讨 的 拉 着 音响 … … 六点 多 就 开始 卖菜 吵吵闹闹 的 。 附近 就 有 新盖 好 的 菜市场 大棚 ， 大棚 冷冷清清
181,位于天津市河西区太湖路的东逸大厦，门口垃圾都堆成山了散发着阵阵恶臭，望有关部门治理下。楼道里更是垃圾成堆，引来大批害虫，也有可能引发高层火灾等严重事件！,位于 天津市 河西区 太湖 路 的 东逸 大厦 ， 门口 垃圾 都 堆 成山 了 散发 着 阵阵 恶臭 ， 望 有关 部门 治理 下 。 楼道 里 更是 垃圾 成堆 ， 引来 大批 害虫 ， 也 有 可能 引发 高层 火灾 等 严重 事件 ！
182,津南天山小区居民，在小区附近有个小站中心广场他的照明路灯都已经安装完毕了，为什么迟迟不给照明，居民在广场避暑，跳广场舞时候，没有照明存在极大安全隐患。上次已有人在那里因看不清摔倒了一次了，希望有关部门尽快恢复照明。,津南 天山 小区 居民 ， 在 小区 附近 有个 小站 中心广场 他 的 照明 路灯 都 已经 安装 完毕 了 ， 为什么 迟迟 不 给 照明 ， 居民 在 广场 避暑 ， 跳 广场 舞 时候 ， 没有 照明 存在 极大 安全隐患 。 上次 已有 人 在 那里 因 看不清 摔倒 了 一次 了 ， 希望 有关 部门 尽快恢复 照明 。
183,天津市津南区八里台镇金台花园九号楼电梯已坏将近半个月了，每天上下班都下不去。物业说没有件，望尽快维修,天津市 津南区 八里台 镇 金台 花园 九号 楼 电梯 已坏 将近 半个 月 了 ， 每天 上下班 都 下不去 。 物业 说 没有 件 ， 望 尽快 维修
184,东丽区金钟街南何庄金河家园小区，2，3号楼底商商户在小区内房后私自破坏楼房原有结构开凿后门并在后面搭建彩钢板房屋，用于底商饭店厨房使用，使小区内油烟污染严重。希望有关部门采取措施。,东丽区 金钟 街南 何庄 金河 家园 小区 ， 2 ， 3 号 楼底 商 商户 在 小 区内 房后 私自 破坏 楼房 原有 结构 开凿 后门 并 在 后面 搭建 彩钢板 房屋 ， 用于 底商 饭店 厨房 使用 ， 使 小 区内 油烟 污染 严重 。 希望 有关 部门 采取措施 。
185,河东区程林里万腾道乱停车,河东区 程 林里 万腾道 乱 停车
186,程林里45号楼下收废品的堆积,程 林里 45 号 楼下 收 废品 的 堆积
187,南开区肿瘤医院远近闻名，附近地铁在建，所以前去医院的人大多到天塔站然后打车前往，衍生一批黑出租及非法营运的出租车，按人收费。外地患者来津就医不熟悉情况，这些非法营运的车辆影响交通秩序及地方形象。,南开区 肿瘤医院 远近闻名 ， 附近 地铁 在建 ， 所以 前去 医院 的 人大 多到 天塔 站 然后 打车 前往 ， 衍生 一批 黑 出租 及 非法 营运 的 出租车 ， 按人 收费 。 外地 患者 来津 就医 不 熟悉 情况 ， 这些 非法 营运 的 车辆 影响 交通秩序 及 地方 形象 。
188,天津肿瘤医院东门，西门每天总有固定的几辆非法营运出租车堵路调活，不打表，长期在单行路占路堵路，拒载绕路，坑害开医院就医的外地患者，严重扰乱医院门前交通秩序，和其它正规出租车的营运秩序！反映给客运处多次都没有效果，希望有关部门帮助百姓解决长期困扰在医院的此问题。,天津 肿瘤医院 东门 ， 西门 每天 总有 固定 的 几辆 非法 营运 出租车 堵路 调活 ， 不 打表 ， 长期 在 单行 路 占路 堵路 ， 拒载 绕路 ， 坑害 开 医院 就医 的 外地 患者 ， 严重 扰乱 医院 门前 交通秩序 ， 和 其它 正规 出租车 的 营运 秩序 ！ 反映 给 客运处 多次 都 没有 效果 ， 希望 有关 部门 帮助 百姓 解决 长期 困扰 在 医院 的 此 问题 。
189,河北区万柳村大街富方园该小区始建于2000年以前，为7层坡屋顶砖混结构楼房。目前该小区已经入住20余年，设施老化严重，继续大修改造。特别是顶层漏水问题，已经严重影响了居民的正常生活。而且该房屋为瓦面坡屋顶，目前瓦面破损严重，随时都有掉落伤人的可能，而且屋顶女儿墙部位严重开裂，在冬季大风情况下，可能造成坍塌，造成严重伤害。,河北区 万柳村 大街 富方园 该 小区 始建 于 2000 年 以前 ， 为 7 层坡 屋顶 砖混 结构 楼房 。 目前 该 小区 已经 入住 20 余年 ， 设施 老化 严重 ， 继续 大修 改造 。 特别 是 顶层 漏水 问题 ， 已经 严重 影响 了 居民 的 正常 生活 。 而且 该 房屋 为 瓦面 坡 屋顶 ， 目前 瓦面 破损 严重 ， 随时 都 有 掉落 伤人 的 可能 ， 而且 屋顶 女儿墙 部位 严重 开裂 ， 在 冬季 大风 情况 下 ， 可能 造成 坍塌 ， 造成 严重 伤害 。
