xinxi,leixing
增产道中医二附院刚刚开业门前就有人占据人行道来当存车处，中医二附院里面有非机动车存车处，这处私人存车处无有关部门审批，纯属非法占路经营，给行人出行特别是病人带来麻烦，希望有关部门予以取缔。,0
北宁湾宁宇家园的住户，住宅位于万福商场正上方，商场为了不影响商户的生意，因此规定商家白天不能施工，只能晚上22点闭店后才能施工，我们经常半夜被电钻声，凿墙声搞得无法正常休息，我们找过物业调解不管用，打过110有所改善，后来为了防止我们报警找到他们，商场将夜间通道彻底关闭，白天并没有人施工，我们也没地方找人去，现在我们不知哪天就会被电钻凿墙声影响得无法休息。,0
天津市河北区乌江路市场有骑自行车收药 ，男，45岁左右，自行车车筐中有收药的大牌子 望有关部门及时治理,0
据群众反映，天津市滨海新区迎宾街20号金龙腾俱乐部有涉黄问题，卖淫嫖娼活动十分猖獗，而且附近的很多人都去那里，该俱乐部里有女孩穿着裸露，有裸体表演，利用淫秽词语招览男子进行卖淫活动影，扰乱了社会秩序 ，严重影响了周边治安，也带坏了社会风气。希望有关部门进行处理。,0
"在旧津保道雅美里小区7号楼，这个院是个独立的院（独门独院），院内所有的一层窗户基本上都是院外餐馆的后厨，都是排油烟的大烟囱，排烟的时候不仅气味难闻，而且都是挂着油渍，一旦着了火后果不堪设想；再有就是各种杂物和(僵尸车),从一进小区开始，各种摆摊商贩的摊位、移动板房、不用的灶具、废旧家具床垫等等，还有数辆废弃的车辆（不清楚这车里还有没有汽油）真得是让人害怕，不知道哪天会引起火灾，也曾看到过《限期开走的通知》但至今仍然还在那里无人理会；不仅如此，就在小区进口处，各种商贩的各种摊位烧烤、买东西的、餐馆等等，有的食客找到不到厕所就进到院内随地大小便，不仅给环境带来影响同时也给治安带来隐患，真的是脏乱差，真心希望区里有关部门下大力度治理一下，也好让老百姓在一个良好的环境和治安的稳定下迎接党的十九大召开，同时也可以看到区政府真心为老百姓办实事，谢谢",0
  华苑地铁站C口科技园底商，不少商铺如天津银行，农商银行，装修公司，孔乙己饭店与一些小门店，私立停车桩，霸占空地为自己停车用。地铁出口人流量很大，给人行道与停车造成很大影响，同时商店随地乱扔建筑垃圾、生活垃圾，给卫生环境造成很大影响。希望有关部门出面整顿，还市民干净卫生整洁的环境,0
  河东区中山门互助道小学（中心南道校区）位于大型居民区内，自2017年9月20日起开始拆建工程，夜间施工不停，施工及进出车辆噪音严重影响周围居民的正常休息，且进出工程车辆不加遮盖，造成工程杂物洒落。请有关部门严格按照工程施工规定，对互助道小学拆建工程予以监察。,0
 天津南开区雅安西里脏乱差，私装地锁、私搭乱建严重、严重影响居民生活，造成交通堵塞。希望有关部门能够治理。,0
   西青道咸阳路交口千禧园公交车站前摆摊占道严重公交车进站都成问题，综合执法和他们都挺熟的，来了几次未清理。,0
千禧东园原有一个大型空地，开始被人用作存车场，但今年四五月份，存车场的一大部分用地租给别人建足球场，离我们居民楼不到10米，噪音、灯光，严重影响居民休息。,0
天津市和平区昆明路与拉萨道交口天兴里小区有烧烤扰民，每天都要到凌晨才安静下来。而且烟熏火燎味道大，污染环境，希望有关部门能够治理。,0
您好，河东鲁山道社区医院门口（彩丽环路翠景芳邻小区门口）每天好多卖菜的堵住街道，不光扰乱周围居民出行，并且走了以后留下一堆垃圾，包括菜叶子，卖海鲜的倒出来的脏水，这块还经常造成道路拥堵，希望有关部门能治理一下,0
  1、天池北路与信州道交口泰达御海北侧的联发欣悦学府工地最近已连续十多天夜间施工，噪音非常扰民。  2、该工地最近夜间天天有大车向工地内进土，每天晚上天池北路和胶州道的路面便被散落的渣土覆盖，扬尘特别严重。,0
河东区长征楼小区周边人员混杂，近期早上经常有车主下楼发现汽车雨刮器丢失，由于金额较小，并没有人报警，但是这是确凿的盗窃行为，希望周边民警予以布控，早日将违法犯罪分子绳之以法。,0
河东区津塘路和大桥道交口，三中心医院进车口，车辆拥堵，导致路口交通经常混乱，极易引发交通事故，行人更危险，望有关部门多加关注,0
位于北辰区佳宁道夜市，每到晚上随着夜市购物人群不断增多，伴生了交通拥堵、噪声扰民等问题，也倍受群众质疑。影响了居民正常的生活，希望有关部门进行处理。,0
据群众反应，近期在海河狮子林桥底下有几名年逾花甲的男性竟然游起了泳，上岸后一丝不挂慢慢走到自己放衣服的位置。尽管在众目睽睽之下，这群人似乎并不急穿衣服，而是若无其事地坐在岸边搓洗着身体，悠闲地与同伴拉着家常此情此景，惊的周围女性无不“花容失色”，或捂脸扭身或低头匆匆而过，此行为影响了社会秩序，希望有关部门进行处理。,0
国泰桥虽然通车时间不长，但已是连接河西区跟河东区的重要枢纽。桥下有孩子和老人都喜欢去的富民公园。每到周末有很多父母或者老人带着孩子来公园玩耍，然而，国泰桥下有两条自行车道，一条机动车道。仔细看路牌，自行车道是靠右的两条，汽车道靠左（也就是靠近桥的一侧），老人骑车带着孩子经常被汽车按喇叭大声催促着、或者刚下坡的中间道自行车车速较快，与最右侧的汽车相撞事故也时有发生。因为有的汽车选择走最右面的自行车道通行。有时孩子从公园跑出来，下了便道，走错道的汽车会来不及躲避造成事故。望有关部门领导予以重视，避免交通事故的发生，可否在非机动车道架设隔离墩，以防止汽车进入非机动车道通行，还老人和孩子一个安全的交通环境。,0
南开雅安道川府新村，该片区紧邻南开工业园，每年夏秋此时均有间歇性恶臭气体排放，居民多次向环保部门反应但均不了了之。  恳请市领导关注协调，还百姓健康的生活环境。,0
天津市河东区沙柳北路 靠居民楼一侧 按摩店内存在色情交易。并有少数店存在使用威胁手段性交易,0
据群众反映，宁河分潘庄一居民区电缆被盗割180余米，种种迹象表明，嫌疑人还末走这，此时，民警发现一辆机动三轮车，车上的男子看到后附近群众后逃窜，两名男子均为外地人，头戴鸭舌帽，操东北口音，身高1米70，望有关部门予以治理。,0
天津市南开区西南角天佑城附近，多辆环卫洒水车私自挪用路边消防救火用水，而且这些环卫车再喷洒路面时，造成的路面积水也相当严重，对于过往车辆也是有相当隐患的，不要把清洁路面的好事办成坏事，希望有关部门予以关注！,0
天津市和平区气象台路与中环线交口一到晚上有很多小摊小贩，生意火爆的要占用很多马路资源，用餐的人们也是停车在路边，经常造成交通拥堵，同时影响当地环境，望相关部门予以治理。,1
2017年9月23日在宫西街路口（宜兴埠十街居委会门口对着）的两盏路灯，自去年就不亮，至今无人管理。路边有拆过的房子留下的碎砖碎瓦，加上又是在路口，给出行造成很大困扰。双节临近，热切希望把路灯重新点亮，方便附近居民出行。,1
9.23河东区八纬路和大直沽西路交口怡安温泉公寓小区1号楼两个废品收购站有大量垃圾堆放，无人清理；小区内路面损坏、扬尘严重，有安全隐患,1
河东区华昌大街人行道路灯杆电线盒沒有盖子，里面有高伏电线，如行人或小孩路过接触容易产生触电危险，望相关部门解决。,1
河东区东风桥下 有人私设套圈 涂石膏像 贩卖项链手串等摊位 给过往车辆行人带来安全隐患，也影响市容形象 ,1
在红桥区南云河南路米兰弘丽园北侧的路边绿化带中，植物长期无人修剪，导致枝叶疯长，以致绿化带中的通道越来越狭窄。在靠近居民楼一侧的绿化带旁还堆放着不少垃圾杂物。,1
静海区海馨园24号楼一单元的居民，在24-26号楼中间有一消防通道，两面两个烟筒到底商楼顶，烟筒出口正对着我家窗户。每晚冒黑烟，夏天不敢开窗户。烧烤的味道难闻。实在无法忍受了。通道南侧是邸氏龙虾、北侧是永兴餐厅。多次向有关部门反映，说他的烟筒环保测评合格，他再合格，对着我家窗户冒烟，我受不了。请有关部门到现场查看，是否属实。不解决，我只有搬家了。若不起，躲得起啊。有人说烟筒是饭店花2万块钱，环保局给安装的，不知真假。,0
河东区大桥道大王庄一带，父女组合碰瓷，小女孩胳膊碰汽车反光镜，他们走了你也别走，你走了就回头告你肇事逃逸，有很大安全隐患，望有关部门管理,0
已经开始降温，安检员没有发长袖服装，仍然穿着半袖背心站在安检点工作，很没人性化。,0
天津市河东区风亭路与真理道交口违章停车特别严重 经常照成严重堵塞 很容易发生交通事故 望有关部门给予处理,0
天津市河东区大桥道 聚海潮洗浴中心内有色情交易 明码标价 对社会照成严重影响 望有关部门给予处理,0
汇英里小区位于江都路与增产道交口处，在小区的唯一入口处的卸对过是一整排违章建筑，分别是“女人行 欧洲站” “原木碳火烧烤” “麻将棋牌室”，随着这三个店铺的不断扩建，已经严重影响了小区居民的正常同行。尤其是这个饭馆和棋牌室营业的时候，在店门口还会停一排汽车，导致原来就不宽敞的通道仅剩一车道能勉强通行，例如救火车等大型车辆很难进入小区，存在非常大的安全隐患。,0
河东区南横街欣荣馨苑小区一户居民 。小区长久以来环境脏乱差 ，一楼住户都违章占用公共用地和公共绿地私自扩建 ，更有不属于本小区业主的外来人员拆掉了小区围墙 ，在围墙的地方违章盖起了私人二层小楼和小区围墙外的临建房连在一起   对小区的环境和安全构成影响， 小区物业对此不管不问， 毫无作为 。希望能够制止这种问题还居民一个良好的居住环境。,0
万达附近瞎停车严重,0
爱琴海天桥附近乱停车,0
据反映地铁二号线空港经济区出口附近有人利用私家车出售军用装备 水壶 刀具等物品  该男子开一辆无牌夏利 体貌特征不详 望有关部门核实并进行治理,0
东丽佳春园小区门口摆摊贩卖管制刀具和仿真枪，扰乱社会治安，身高一米七左右，穿黑色夹克，经常开一辆无牌汽车，望有关部门治理,0
天津市东丽区东丽开发区轻轨站对面，同唱一首歌KTV娱乐会所，里面三楼单间内，有小姐提供色情服务，还可以带走出台,0
天津市河西区儿童医院旁边，苹果TOP酒吧，里面有人偷着卖摇头丸，有时会在厕所进行交易,1
万兴街佳音里居委会云栖里小区内私装地锁现在空地上都是地锁让没有安地锁的车辆根本无法停车。希望区里和万兴街道办事处给予重视和处理。,0
挂甲寺街景福里楼顶养鸽子、养鸡问题仍然没有解决，国家有法律可依；天津市有规定。希望有关部门尽快处理，如果发生疫情，政府和百姓都受损失。,0
买卖发票。本公司现有国内各行业增值税专用，增值税普通发票，点数合理，可以验证后付款，电话/微信188-1059-7433杨先生。,0
据群众反映，普济河道立交桥东西方向，经常有非机动车在桥上行驶，此行为极易造成交通隐患，望有关部门及时治理,0
现反映王串场一号路惠宾饭店至小肥羊底商楼顶尤其在夜间存在严重噪声污染扰民问题。该处底商楼顶以及墙体上有多个排风设备、油烟机净化设备，每天24小时发出“嗡嗡”的响声。白天尚可接受，但在晚10点后至早7点也存在严重的噪声污染。对小区居民，尤其是3楼以上的居民的夜间休息产生严重的影响。,0
据群众反应，河东区凤山道与凤亭路交口附近经常堆放大量垃圾，并且无人处理，影响居民安全出行，希望有关部门进行处理。,0
天津河北区平安街，晚上二十三点以后经常有摩托逆行赛车，造成安全隐患，希望有关部门能够治理。,0
朝阳路每天洒水作业是否过于频繁？经常看到三辆车相隔不到五十米同时洒水，导致路面水流成河，尤其上下班时间，大量车辆通行，不但影响通行效率，而且造成私家车脏污不堪。包括道路清扫车等，我只在咱天津看见白天作业，影响车辆通行,0
据群众举报，十一期间宝坻区周良庄附近发生多起自行车被盗案，给居民出行困难，同时据附近居民反映，发现一男子持作案工具偷盗一辆粉色电动自行车，该男子身穿皮夹克，身高1.70米头戴鸭舌帽，本地囗音，望有关部门予以治理。,0
据群众反映在滨江道美丽衣橱旁巷子里，有人做免费体检宣传，进到店里说做免费体检，过程中找各种理由收费，无法拒绝离开，望有关部门管理,0
津南区曹氏大厦内有色情服务 明码标价 高低不等 望有关部门给予处理,0
天津市河东区万新村玉笛洗浴内有色情服务 明码实价 高低不等 望有关部门给予处理,1
滨海新区岳阳里小区，多处楼门附近堆积大量共享单车，不少单车已损伤。该小区附近有数量共享单车，其中十余辆被堆在一起有半人多高，而且有的单车在小马路上横七竖八随便乱放，影响小区车辆出行。,0
天津市河北区金钟河大街地铁站外围用于修理地铁站口原因，建立了围墙但是交通并没有顾及到多处路口无红绿灯和监控拍照，车辆逆行以及大车超速、小车互挤时有发生，交通事故也是常有的事，严重给行人和道路正常使用造成了影响，望有关部门治理。,0
据群众反应，每天晚上7点半以后在位于河东区雪莲南路860路公交车终点站内就有一队广场舞练习者集结，还配备有两个专业（功率极大的音响设备）功放扬声器在此练习。近两年来周围居民苦不堪言。尤其在夏季家家户户开着窗户的情况下根本无法正常休息，严重影响了周围居民的正常生活。希望有关部门进行处理。,0
天津市河北区天泰路润泰园小区住户将大片小区绿地占为私有，私搭乱建，将小区绿地破坏，希望有关部门能够整治。,0
和平区新欣里的违章不管是一楼扩建还是私搭乱盖已经无法控制，投诉无门，并且由于五十五中学将校门开在了小区内部，扰乱小区正常的出入，以及附近小区私占车位严重，整条胡同和马路都是地锁,0
天津河北区北宁湾宁宇家园，位于万福商场正上方，商场22点闭店后施工，声音致使无法正常休息，希望有关部门能够治理。,0
在月牙河南路和万隆花园小区内，多根架空线缆垂落在绿地和便道上，交织成一张硕大的网，将便道大面积封堵，由于该路段夜间灯光不足，有数人此前在夜间经过这里时被线缆网住，存在安全隐患。,0
天津市东丽区轻轨东丽开发区站对面金色年华KTV夜总会晚上有小姐提供色情服务，并且存在强买强卖现象。进入包间后服务员会先上酒水，无论要不要也会卖给你，随后会有值班经理带着5到6个小姐进入包间让你选，全都提供色情服务，价格从几百到几千都有，在单间内就开始进行色情表演。,0
挂甲寺街景福里楼顶养鸽子、养鸡问题仍然没有解决，国家有法律可依；天津市有规定。希望有关部门尽快处理，如果发生疫情，政府和百姓都受损失。,0
河北区杨桥大街裕泰家园 小区进行了暖气管道的改造施工 将小区路面大面积破坏，路面恢复问题无人问津 严重影响了老百姓的公共安全和小区环境 给小区业主生活造成极大不便 ,0
据群众反映，东丽区津滨桥从桥下盘桥的路口有一段逆向行驶的路段，夜晚没有灯光照明，极易造成交通安全隐患，望有关部门关注治理,0
塘沽区港城大道测速段，经常有长途运输大车停在道边休息，占用主要行车道路，让四车道变成两车道，不管白天晚上都有20、30辆车停那，无人管理，望有关部门管理。,0
基础信息：河东区津塘村道整条道路无法正常出入，周围违章停车致使红绿灯路口都无法正常通行，而且整条道路本身就比较狭窄，再加违章停车更是无法通行，每天堵车，而且遇晚下班高峰根本无法通行，一直堵车到津塘路，存在极大的交通隐患，而且堵车基本就是不动，根本无法通行，每天如此，希望政府及时解决，交通部门能够对违章停车进行管理，规划部门能够及时对道路进行扩宽，方便周围居民通行。,0
天津和平区建设路与青岛道路口，有一戴墨镜老人未穿公众停车收费服，却收取整个青岛道停车费，而且无票，希望有关部门能够整治。,0
龙湾城内公共道路私装铁质减速带影响行车安全，政府是否经过允许？    武清区下朱庄街管辖区域，龙湾城内何嘉仁幼儿园门前公共道路私装铁质减速带，是否属于违法行为？政府是否应该行使监督和管理措施杜绝这种违法行为？    并且该道路属于龙湾城居住区内，晚上路面昏暗，稍不注意就会造成车辆损失及车毁人亡的情况发生。    如出现事故，那么政府、街道、综合执法、物业、私装人、道路管理部门不知道谁应该承担相应监管责任？    如果无人管理，后期是否允许公共道路私装设施行为？,0
黄岩里小区内有一排平房，租给收废品的人员，院内废品堆积，垃圾遍地，脏乱不堪，门前及房顶上存放许多木头以备做饭和取暖，存在安全隐患。小区内的居民多次向属地管理部门，居委会及二号桥街反映，因平房的产权属于东丽区他们解决不了。向东丽区反映，表示此平房已经归了个人他们也没有办法，就这样多年来问题就在推来推去中都没有解决。市委市政府高度重视环境4问题，市容委也不容许废品堆放在小区院内，居民希望政府为百姓所想所急，解决安全隐患，为百姓创建一个宜居的环境，创建文明社区，迎接党的十九大的召开。,0
据群众反映，宝坻区牛家牌地区接连发生多起盗窃柴油，犯罪团伙针对停放公路两旁货车及施工工地的工程机械内柴油进行疯狂盗窃，附近目击者发现该犯罪团伙盘踞在滨海新区塘沽一带近行疯狂盗窃，而且采取合伙作案，文叉作案，盗窃油库，公路停放货车，窜至本市宝坻，宁河，汉沽，大港，西青，东丽等地，望有关部门予以治理。,0
一名女子（疑似小姐）在金钟河大街小树林车站附近招揽生意，不远处后面还有一男子紧盯着，怀疑是“仙人跳”，希望有关部门关注治理,0
天津市东丽区新立地铁站附近，下午以及傍晚在地铁出口处，都是残障人士的的小车私自拉人运营，无人管理，希望有关部门治理。,0
天津海河边释放孔明灯，有可能给他人财产安全造成危害。（坐标解放桥公厕附近）导致失火、伤人以及干扰航空器飞行等情况都要负刑事责任！ ​​​望有关部门治理,0
据来天津旅游的游客反映周邓纪念馆地铁站口卖板栗糕的跟卖切糕的一样都是坑人的。说要十块钱的不给切，指了下说要这一小块大概多少钱，回答说得称了才知道。一称一百多，说不要了，又说切了必须要。这种强买强卖行为望有关部门治理,0
南北大街和小围堤道交口有地沟跑冒，一直无人修理，存在安全隐患望能解决！ ​​,0
市民反映称，南开区保山道横江里小区外的便道上，一家轮胎销售店将大量废弃轮胎占便道存放当招牌，而附近一楼住户在便道上开门，门外两侧摆了一对瓷马来占车位。市民表示，如此占用便道影响行人正常通行，且存在安全隐患。 ​​​,0
据反映总医院附近麦当劳门口有人骑自行车收药 自行车车筐中有收药的大牌子 望有关部门及时治理,0
天津市河东区临池里私搭乱盖问题严重，群众纷纷反映脏乱差，居民曾联合向居委会与综合执法反应，望有关部门治理,0
群众反应，每次路过“王顶堤立交桥下”都能看见翻栏杆过马路的，看着疾驰下立交桥的汽车飞驰而过，感觉他们是在用生命过马路的啊！希望有关部门治理一下！,0
据群众反映，河西区围堤道一网吧内，一男子准备下网离开，发现自己口袋内两万元现金丢失，据其他上网人员反映，该男子操东北口音，身穿运动服，头戴鸭舌帽，望有关部门予以治理。,0
据群众反映，河西区围堤道一网吧内，一男子准备下网离开，发现自己口袋内两万元现金丢失，据其他上网人员反映，该男子操东北口音，身穿运动服，头戴鸭舌帽，望有关部门予以治理。,1
反应一下河西区三水道和泗水道之间学苑路这段路的机动车乱停车问题，这段路有很多底商，又有很多大型公交车，本来路就窄，购物集中居民人又很多，上下学孩子也多，可是道路两边却停了很多汽车，变得通行非常困难，大型的公交车总是擦肩而过，根本没地方躲，两边我看了也不是机动车停车位，希望有关部门治理一下，给大家一个安全的道路，希望尽快回复，谢谢！,0
南开区玉泉路春香里小区部分居民使用杂物及废旧自行车占路占车位日趋严重，严重影响居民出行及有序停车，小区内居民常因停车问题发生口角矛盾，几乎所有空地全部有杂物占车位，导致有些居民无法停车，发生矛盾，多年困扰的问题苦不堪言，居民也是多次反应没有结果，希望有关部门领导体恤民情疾苦，百忙之中抽出时间彻底给处理一下，万分感谢！,0
富民桥河东区这一侧桥下路口（与郑庄子大街交口附近区域），由于没有信号灯，经常发生机动车撞人事故。请有关部门调查解决！,0
和平区怡和里4号是一家私人经营的酒吧，该楼为二层结构。目前该酒吧经营者正在更改房屋结构，违规加盖楼顶以做经营使用。此举不但属于天津市政府、天津和平区政府明令禁止的私搭乱盖行为，同时基于房屋老旧，对于建筑及消防安全，周边居民采光生活造成很大隐患和影响。  ,0
河东区韶山道32号底商有一个型格摄影，其内豢养了多条大型猛犬，并且没有任何保护措施，不知其是否拥有犬证，这几条大型犬经常在附近游荡，周边就是河东实验小学，经常有低年级学生来往，对小朋友的人身安全造成了极大隐患，并且该商户纵容大型犬到处拉屎，并没有采取任何清理，早造成该街道到处都是犬类粪便，极大的影响了环境卫生，周边居民怨声载道，居委会不作为，望有关部门治理整顿。,0
天津市河东区六纬路与十一经路交口处的玉笛洗浴中心里有不道德的“人肉交易”请有关部门处理,0
  我是红桥区水木天成阁林园居民，水木天成常年没有得到有效管理，商贩占路经营，私搭乱盖，僵尸车占路，绿地占用问题严重，综合执法部门每次只是以疏导性质的管理为主，造成这些商贩是你来我就暂时收摊，你前脚走，我后脚就继续占路摆摊经营，造成居民出入非常不方便，留下严重的安全隐患。,0
南开区万德庄大街与万德庄南北街，均为规划双向两车道，现状是街道两边车辆长期处于满负荷停放状态。由于两边的步行区域也经常停放大量机动车，加上摆摊设点，在高峰期，行人及非机动车经常也要在街道中间行走，非常不安全。万德庄南北街有时需要双向同时通行公交车，因为街道两边停靠大量车辆，所以经常完全无法通行。建议规划停车位，征收停车费用，这样可以减少开车来此处就餐的人数。对于规划车位之外停靠的车辆，加强管理。停车费建议高于或持平于附近停车场。供参考。,0
河东区富民路滨河家园有人贴传单煽动周围居民聚集反对在富民桥旁设计基站,1
河东区华昌大街东屏园小区附近经常有骑着一辆电动车的人收药，有人路过向前询问并给予药品，药品来源及去向不明，此人是20多岁的男子，上穿绿色夹克，下穿深蓝色裤子，外地口音，身高1米75左右，体型廋，希望有关部门进行治理。,0
天津市河北区建昌道邮局附近下水道堵塞，积水长年有，致使道路湿滑也使得本就狭窄的道路更加堵塞，行人出行安全受到威胁，望有关部门及时处理,0
在河北区宜白路与均胜路路口的斑马线附近，一男一女赶着一辆满载着哈密瓜的驴车叫卖，不仅影响交通秩序，毛驴的排泄物更破坏了城市道路卫生环境。,0
天津南开区鼓楼街道北开大街私自改成纵向停车占用非机动车道，无划线地儿包月收费，城厢西路车墩子占领无划线地儿停车包月收费 ​​​。,0
据群众反映，天津市各市区跑郊区的大巴车有私自加座的行为，增加了车的负担再加上跑远道极易发生事故，望有关部门及时查处,0
天津市空港经济中心地铁站门外黑出租车严重漫天要价还堵塞交通请有关部门处理一下,0
河东区靖江路瑞达春天精品酒店门口的立交桥下，每天有大量人群聚集此处唱歌，露天KTV，音响声音极大，每晚持续到19点左右，扰民严重。,0
河东区万达广场后身金湾路，本来是一条单行路，但每天都有汽车逆行，随然万达停车场出口立有交通队禁止左转的牌子，但还是有大量车主逆向行驶，在周末节假日经常造成长时间拥堵，甚至发生口角冲突。,0
  南开区华宁南里是一个老旧小区，小区车位本就紧张。现在不断有公共车位被私人占为己有，各种占位方式层出不穷，堆放垃圾、破自行车、大石头、废家具或者拉绳索占车位，而且愈演愈烈，甚至有些家中没有车辆的居民也加入了私占车位的行列！造成本已紧张的车位资源更加紧张，也造成了邻里之间的矛盾，甚至大打出手！恳请主管部门能够把管理落到实处，真真正正解决问题，遏制不道德行为，还小区以宁静！谢谢！,0
天津海河边释放孔明灯，有可能给他人财产安全造成危害。（坐标解放桥公厕附近）导致失火、伤人以及干扰航空器飞行等情况都要负刑事责任！ ​​​[/cp],0
天津市东丽大道从公交总站到松江东湖小镇前的路灯不亮，每天晚上小区前还是漆黑一片，影响道路通行，安全隐患严重影响到生活。,0
人民公园长期有人使用高音喇叭唱歌扰民，每日从早上五、六点唱到夜里十一、二点，严重影响周边居民正常的生活。,0
卫津南路肿瘤医院门口长期有大量的汽车违法乱停，有时停四、五排，骑自行车的人都要到靠近中线的机动车道骑车，汽车在这里造成严重的拥堵，望有关部门尽快处理。,0
近日，天津市北辰区华北集团公交站附近总有残障人士摩托车进行出租载客收费行为，天津市已经全面禁摩，这些三轮摩托车已经不是第一次违法上路，他们以打游击的方式逃避执法人员执法，在路上横冲直撞，极容易造成交通事故，而且也影响天津市全运会的影响，希望有关部门加大力度，取缔三轮摩托违法上路行为的发生。,0
滨海新区开发区洞庭路与五大街交口处经常能闻到刺鼻化工异味，怀疑是周边工业园区企业散发出来的，希望环保部门进行排查。,0
 在子牙河北岸天河桥东侧通往天平路的马路上看到，路面被涂上了黄色长方形方框，几辆悬挂黄色教练车牌照的车辆正在练习左右倒车入库、侧方停车等。其中一辆教练车车顶还罩了个超大的遮阳伞，把前挡风玻璃遮挡住了一半。教练车开起来歪歪扭扭，过往车辆纷纷鸣笛躲避，希望有关部门治理。,0
据反映北辰实验幼儿园门口，一到孩子放学点总有发传单的，幼儿补习班什么的，而且一直介绍个没完，让本来就拥堵的道路更加的难走，严重影响了交通，望有关部门加以治理,0
每次路过“王顶堤立交桥下”都能看见翻栏杆过马路的，看着疾驰下立交桥的汽车飞驰而过，感觉他们是在用生命过马路的啊！ ​​​望有关部门加强治理,0
  南开区玉泉路春香里小区部分居民使用杂物及废旧自行车占路占车位日趋严重，严重影响居民出行及有序停车，小区内居民常因停车问题发生口角矛盾，几乎所有空地全部有杂物占车位，导致有些居民无法停车，发生矛盾，多年困扰的问题苦不堪言，居民也是多次反应没有结果，希望有关部门领导体恤民情疾苦，百忙之中抽出时间彻底给处理一下，万分感谢！,0
天津市河北区王串场每逢下雨时节，积水特别多，排水特别慢，积水成河，如逢大雨，经常有车会深陷其中，望相关部门予以治理。,0
河北区革新道，通达新苑社底商有多家底商到晚上从事卖淫嫖娼活动，望有关部门尽快解决了。,0
天津河东区十经路与八纬路交口，一辆大货车由八纬路左转十经路时将空中线缆挂断，线缆垂落砸到路边停放的车辆，大货车逃逸，受此影响，此路段无法通行，望有关部门及时处理。,0
近日，在河北区金钟河东街正兴里楼门前堆有大量废弃的沙发家具等生活垃圾，散发阵阵恶臭，此行为既影响市容环境卫生，又污染空气质量，望有关部门尽快处理此事,0
天津市南开区荣业大街，每逢下雨，道路积水非常严重，并且是天津市主要通行道路，影响交通并经常有行人车辆深陷其中，望相关部门予以治理。,0
中环线与真理道交口，经常有人员在机动车道发放宣传广告，存在较大安全隐患，望有关部门尽快解决。,0
东丽区祁连路与排污河交口 红绿灯 安装好已经有点时间 但是一直未正常投入使用 ,0
东丽区祁连路与凤山道交口 红绿灯 已经安装有段时间  但是一直 未正常开启使用,0
河北区金钟河大街北方医院门前，有一个被废弃的变电箱。里面布线都已经被掏空。希望有关部门早点吧柜子进行处理，不要留下安全隐患 ,0
近日在河东区香山道两侧门脸房有多间足疗保健场所多为衣着暴露女士看店，如遇男士路过经常主动搭讪，招揽生意，望有关部门关注。,0
天津市河北区进步道进步桥往南开区南马路方向，桥面上有很多占路停放的共享单车，把本来就狭窄的桥面全都占据了，过往的机动车无法正常通行，极容易造成交通事故，希望有关部门予以关注,0
万新村天山路工商银行附近贴有扫二维码无抵押贷款服务 有欺诈嫌疑 望有关部门关注,0
天津市河东区七纬路与八经路交口道路沿线电线垂落，落下的电线有的都触及地面，不知道这种情况产权单位有没有接到相关反映，希望有关部门受理此事，掉落的电线如果遇到风雨天气漏电的话，后果不堪设想，希望有关部门予以关注,1
天津市河东区八纬路十四经路交口，丰盈西苑附近，一辆大卡车路过的时候把路旁电线杆挂掉，很危险，不知道是否带电，骑自行车的人和行人要注意，高度大概可以到成人的脖子处，希望有关部门尽快解决。,0
微博上有这么一篇信息。因出租车不拉车门致乘客及孩子被淋。在微博引起广大瞩目。据说此位司机居然还下来还破口大骂不怕投诉！希望有关部门加强管理。人性化建设！,0
天津市河东区程林庄道与红星路交口附近，有一个原本四层的建筑，现在被拆到四分之三，楼体宽度仅生下原来的四分之一摇摇欲坠，但是里面仍有人活动和正常住宿。楼体一侧钢筋混凝土裸露而且不时脱落，这个不知道还不能称其为楼的建筑既给建筑内人员带来极大的安全隐患。,0
天津市东丽区华明镇有人私自散发黑医疗小广告。存在重大安全隐患。希望有关部门进行管理。,0
天津市河东区顺达路三十二中学每天下午学生放学时间，私家车随意放，并排放，逆行，导致每天都无敌拥堵，请有关部门治理一下，住在附近居民很苦恼，每天堵在家门口好久，十分影响生活。 ​​​​,0
在河西区琼州道与大沽南路交口附近的机动车道上，设有一排橙色隔离桩，用来分隔机动车和非机动车的车道。隔离桩距离路边工地围墙比较近，非机动车道仅有不足半米的宽度，很多人骑车经过纷纷挤进机动车道。,0
天津诺德中心位于河北区五马路与律纬路交口，该开发商先是不顾相关规定，在无准入证的情况下利用欺诈手段骗去业主拿钥匙。后不考虑周边租售价格(附近同品质新盘车位售价5-15万租赁300元)未与业主协商定取25-35万天价车位，后经过业主集体反抗同意租赁确给出600-800的天价租赁价格，百姓集体拨打8890、110并与房管局物业办、物价局等等所有相关部门投诉，反应无果。地上无停车位置。地下车位又是天价，请问领导我们百姓该怎么办？,0
河东区鸿运里小区2号楼有一处楼顶装饰外檐已经腐蚀、松散，在2号楼2门入口从楼下往上看，看到楼顶有一处突出的装饰外檐已经表层脱落、部分开裂，露出内部参差不齐的材质。随时有掉落的可能，危及居民生命和财产安全。,0
